seed,gamma,marginal_odds_ratio,true_auc,observed_auc,gap_observed_minus_true,sharp_lo,sharp_hi,width,covers,naive_lo,naive_hi,naive_covers
0,1.0,1.8846076673848333,0.6901386935032177,0.6828168928003912,-0.007321800702826509,0.6880519544272076,0.6880519544272076,0.0,False,0.6880519544272076,0.6880519544272076,False
0,1.25,1.8846076673848333,0.6901386935032177,0.6828168928003912,-0.007321800702826509,0.669697504622054,0.7050748365047874,0.0353773318827334,True,0.6859751011957244,0.6893175427724441,False
0,1.5,1.8846076673848333,0.6901386935032177,0.6828168928003912,-0.007321800702826509,0.6539059299021674,0.7178579528150804,0.06395202291291291,True,0.683722375796854,0.6897289985392342,False
0,1.885,1.8846076673848333,0.6901386935032177,0.6828168928003912,-0.007321800702826509,0.6334221457159837,0.7323489152864263,0.09892676957044266,True,0.6802853950602885,0.6894640332710038,False
0,2.5,1.8846076673848333,0.6901386935032177,0.6828168928003912,-0.007321800702826509,0.6076499984513283,0.7478724914044783,0.14022249295315004,True,0.675293689600448,0.6880149456660766,False
0,4.0,1.8846076673848333,0.6901386935032177,0.6828168928003912,-0.007321800702826509,0.5658639877337538,0.7681599598115395,0.2022959720777857,True,0.6659710635184469,0.683351260958533,False
0,8.0,1.8846076673848333,0.6901386935032177,0.6828168928003912,-0.007321800702826509,0.512990703907727,0.787597211450817,0.2746065075430899,True,0.6513787851210775,0.6736586629580202,False
1,1.0,1.8846076673848333,0.7024628057840907,0.6958254205100378,-0.006637385274052887,0.6746601573931656,0.6746601573931656,0.0,False,0.6746601573931656,0.6746601573931656,False
1,1.25,1.8846076673848333,0.7024628057840907,0.6958254205100378,-0.006637385274052887,0.6564266288779548,0.6916409757096047,0.03521434683164992,False,0.6725762030364698,0.6759597402704406,False
1,1.5,1.8846076673848333,0.7024628057840907,0.6958254205100378,-0.006637385274052887,0.6408065797756884,0.7044333549672682,0.06362677519157978,True,0.6703252169123706,0.6764330704613774,False
1,1.885,1.8846076673848333,0.7024628057840907,0.6958254205100378,-0.006637385274052887,0.6206490069277519,0.7189742459639866,0.09832523903623469,True,0.6668879822461103,0.6763072264021723,False
1,2.5,1.8846076673848333,0.7024628057840907,0.6958254205100378,-0.006637385274052887,0.5954675675184519,0.7345949647755471,0.13912739725709522,True,0.6618805649687352,0.6751512837526966,False
1,4.0,1.8846076673848333,0.7024628057840907,0.6958254205100378,-0.006637385274052887,0.5551259399060297,0.7550726430622596,0.19994670315622998,True,0.6524883541456001,0.6713246302349348,False
1,8.0,1.8846076673848333,0.7024628057840907,0.6958254205100378,-0.006637385274052887,0.5051637487261255,0.7747557838123872,0.2695920350862617,True,0.6389258906188187,0.6635730080260183,False
2,1.0,1.8846076673848333,0.699233244858934,0.702899602799048,0.00366635794011394,0.6896958617415625,0.6896958617415625,0.0,False,0.6896958617415625,0.6896958617415625,False
2,1.25,1.8846076673848333,0.699233244858934,0.702899602799048,0.00366635794011394,0.6712648540368206,0.7067366289637996,0.03547177492697906,True,0.6880497509538297,0.6904722515584949,False
2,1.5,1.8846076673848333,0.699233244858934,0.702899602799048,0.00366635794011394,0.6553640133040962,0.7194964239681227,0.06413241066402653,True,0.6860766587749402,0.690471580563283,False
2,1.885,1.8846076673848333,0.699233244858934,0.702899602799048,0.00366635794011394,0.6346854805935022,0.7339196192313008,0.09923413863779862,True,0.6828671629624357,0.6897135343232454,False
2,2.5,1.8846076673848333,0.699233244858934,0.702899602799048,0.00366635794011394,0.6085919906233754,0.7493181748224,0.1407261841990246,True,0.6779311484563684,0.6877493797219034,False
2,4.0,1.8846076673848333,0.699233244858934,0.702899602799048,0.00366635794011394,0.5661303689366689,0.7693518806366577,0.2032215116999888,True,0.6681079795439306,0.6826028892678913,False
2,8.0,1.8846076673848333,0.699233244858934,0.702899602799048,0.00366635794011394,0.5122368000139152,0.7884376997104178,0.2762008996965025,True,0.6510343899540465,0.6731627463024997,False
3,1.0,1.8846076673848333,0.6784916406003111,0.6617603947596026,-0.01673124584070851,0.6971234885537679,0.6971234885537679,0.0,False,0.6971234885537679,0.6971234885537679,False
3,1.25,1.8846076673848333,0.6784916406003111,0.6617603947596026,-0.01673124584070851,0.6788826343189762,0.7139204189598624,0.03503778464088614,False,0.6954320963791095,0.6979046242334729,False
3,1.5,1.8846076673848333,0.6784916406003111,0.6617603947596026,-0.01673124584070851,0.6630848853772283,0.7264545562740409,0.06336967089681256,True,0.6934098790768648,0.6978621127696772,False
3,1.885,1.8846076673848333,0.6784916406003111,0.6617603947596026,-0.01673124584070851,0.6424601083818521,0.7405789713204924,0.09811886293864036,True,0.6901464578732394,0.6969794843275003,False
3,2.5,1.8846076673848333,0.6784916406003111,0.6617603947596026,-0.01673124584070851,0.6163133223324161,0.755608757337029,0.13929543500461294,True,0.6851885699964219,0.6947408091792205,False
3,4.0,1.8846076673848333,0.6784916406003111,0.6617603947596026,-0.01673124584070851,0.5735207324509537,0.7750915357877599,0.20157080333680621,True,0.6749039307251261,0.6888723622163916,True
3,8.0,1.8846076673848333,0.6784916406003111,0.6617603947596026,-0.01673124584070851,0.5189159833806951,0.7935884941484408,0.2746725107677457,True,0.6571919958732602,0.6780721558068726,False
4,1.0,1.8846076673848333,0.7075989808404621,0.6963968320471907,-0.011202148793271416,0.6674016989993263,0.6674016989993263,0.0,False,0.6674016989993263,0.6674016989993263,False
4,1.25,1.8846076673848333,0.7075989808404621,0.6963968320471907,-0.011202148793271416,0.6485286130021206,0.685032375850019,0.03650376284789836,False,0.6655566320726092,0.6684826232097658,False
4,1.5,1.8846076673848333,0.7075989808404621,0.6963968320471907,-0.011202148793271416,0.6324127754049931,0.698345899092641,0.06593312368764792,False,0.663522419681794,0.6687857692419475,False
4,1.885,1.8846076673848333,0.7075989808404621,0.6963968320471907,-0.011202148793271416,0.6116894217489245,0.7135089930318864,0.10181957128296193,True,0.6603914484783645,0.6684500095697966,False
